temp_avg,temp_min,temp_max,temp_observ,precip,wind,casual,registered,total_cust,holiday,rain,fog,ice,year,season_spring,season_summer,season_fall,dayOfWeek_Friday,dayOfWeek_Monday,dayOfWeek_Saturday,dayOfWeek_Sunday,dayOfWeek_Thursday,dayOfWeek_Tuesday,dayOfWeek_Wednesday,total_cust_log,total_cust_diff
5.2,-1.57,11.97,2.77,0.07,2.58,330.0,629.0,959.0,0.0,1,1,0,2011,1,0,0,0,0,1,0,0,0,0,6.8658910748834385,6.8658910748834385
7.34,0.88,13.81,7.33,1.04,3.92,130.0,651.0,781.0,0.0,1,1,0,2011,1,0,0,0,0,0,1,0,0,0,6.660575149839686,-0.2053159250437524
2.01,-3.44,7.46,-3.06,1.88,3.62,120.0,1181.0,1301.0,0.0,0,0,0,2011,1,0,0,0,1,0,0,0,0,0,7.170888478512505,0.5103133286728188
-0.66,-5.96,4.64,-3.1,0.0,1.8,107.0,1429.0,1536.0,0.0,0,0,0,2011,1,0,0,0,0,0,0,0,1,0,7.336936913707618,0.1660484351951128
0.91,-4.29,6.11,-1.77,0.0,2.95,82.0,1489.0,1571.0,0.0,0,0,0,2011,1,0,0,0,0,0,0,0,0,1,7.359467638255621,0.022530724548003533
-0.38,-4.99,4.23,-4.25,0.0,1.6,88.0,1485.0,1573.0,0.0,0,0,1,2011,1,0,0,0,0,0,0,1,0,0,7.360739903058278,0.0012722648026564087
-0.51,-3.89,2.86,-1.57,0.1,2.55,148.0,1345.0,1493.0,0.0,0,1,1,2011,1,0,0,1,0,0,0,0,0,0,7.30854279753919,-0.052197105519087295
-1.75,-3.98,0.49,-2.47,0.29,4.57,68.0,871.0,939.0,0.0,0,1,1,2011,1,0,0,0,0,1,0,0,0,0,6.844815479208263,-0.4637273183309274
-3.03,-6.29,0.23,-6.07,0.28,6.43,54.0,748.0,802.0,0.0,0,1,0,2011,1,0,0,0,0,0,1,0,0,0,6.687108607866515,-0.1577068713417482
-2.87,-6.24,0.51,-5.18,0.0,2.98,41.0,1257.0,1298.0,0.0,0,1,0,2011,1,0,0,0,1,0,0,0,0,0,7.168579897264035,0.48147128939752015
-2.68,-5.91,0.56,-3.1,0.46,1.35,43.0,1188.0,1231.0,0.0,1,1,1,2011,1,0,0,0,0,0,0,0,1,0,7.115582126184454,-0.052997771079581035
-2.46,-5.11,0.19,-3.38,3.53,5.68,25.0,1116.0,1141.0,0.0,0,1,1,2011,1,0,0,0,0,0,0,0,0,1,7.039660349862076,-0.07592177632237807
-1.78,-4.6,1.04,-4.16,0.0,5.03,37.0,1346.0,1383.0,0.0,0,1,0,2011,1,0,0,0,0,0,0,1,0,0,7.232010331664759,0.1923499818026828
-3.09,-7.34,1.16,-5.83,0.0,2.12,54.0,1330.0,1384.0,0.0,0,1,1,2011,1,0,0,1,0,0,0,0,0,0,7.232733136177615,0.0007228045128560012
