date,temp_avg,temp_min,temp_max,temp_observ,precip,wind,casual,registered,total_cust,holiday,rain,fog,ice,datetime,year,month,dayOfWeek
2011-01-01,5.2,-1.57,11.97,2.77,0.07,2.58,330.0,629.0,959.0,0.0,1,1,0,2011-01-01,2011,January,Saturday
2011-01-02,7.34,0.88,13.81,7.33,1.04,3.92,130.0,651.0,781.0,0.0,1,1,0,2011-01-02,2011,January,Sunday
2011-01-03,2.01,-3.44,7.46,-3.06,1.88,3.62,120.0,1181.0,1301.0,0.0,0,0,0,2011-01-03,2011,January,Monday
2011-01-04,-0.66,-5.96,4.64,-3.1,0.0,1.8,107.0,1429.0,1536.0,0.0,0,0,0,2011-01-04,2011,January,Tuesday
2011-01-05,0.91,-4.29,6.11,-1.77,0.0,2.95,82.0,1489.0,1571.0,0.0,0,0,0,2011-01-05,2011,January,Wednesday
2011-01-06,-0.38,-4.99,4.23,-4.25,0.0,1.6,88.0,1485.0,1573.0,0.0,0,0,1,2011-01-06,2011,January,Thursday
2011-01-07,-0.51,-3.89,2.86,-1.57,0.1,2.55,148.0,1345.0,1493.0,0.0,0,1,1,2011-01-07,2011,January,Friday
2011-01-08,-1.75,-3.98,0.49,-2.47,0.29,4.57,68.0,871.0,939.0,0.0,0,1,1,2011-01-08,2011,January,Saturday
2011-01-09,-3.03,-6.29,0.23,-6.07,0.28,6.43,54.0,748.0,802.0,0.0,0,1,0,2011-01-09,2011,January,Sunday
2011-01-10,-2.87,-6.24,0.51,-5.18,0.0,2.98,41.0,1257.0,1298.0,0.0,0,1,0,2011-01-10,2011,January,Monday
2011-01-11,-2.68,-5.91,0.56,-3.1,0.46,1.35,43.0,1188.0,1231.0,0.0,1,1,1,2011-01-11,2011,January,Tuesday
2011-01-12,-2.46,-5.11,0.19,-3.38,3.53,5.68,25.0,1116.0,1141.0,0.0,0,1,1,2011-01-12,2011,January,Wednesday
2011-01-13,-1.78,-4.6,1.04,-4.16,0.0,5.03,37.0,1346.0,1383.0,0.0,0,1,0,2011-01-13,2011,January,Thursday
2011-01-14,-3.09,-7.34,1.16,-5.83,0.0,2.12,54.0,1330.0,1384.0,0.0,0,1,1,2011-01-14,2011,January,Friday
2011-01-15,-1.44,-5.66,2.78,-3.95,0.0,2.2,222.0,1018.0,1240.0,0.0,0,1,0,2011-01-15,2011,January,Saturday
2011-01-16,0.77,-4.08,5.63,0.41,0.0,3.3,251.0,937.0,1188.0,0.0,0,0,0,2011-01-16,2011,January,Sunday
2011-01-17,-0.59,-3.37,2.19,-2.12,0.42,3.1,117.0,876.0,993.0,1.0,1,1,1,2011-01-17,2011,January,Monday
2011-01-18,-1.38,-3.24,0.49,-1.77,10.54,3.25,9.0,663.0,672.0,0.0,1,1,1,2011-01-18,2011,January,Tuesday
2011-01-19,1.87,-1.06,4.8,1.12,0.88,3.28,78.0,1553.0,1631.0,0.0,1,1,0,2011-01-19,2011,January,Wednesday
2011-01-20,3.48,-1.11,8.06,-0.44,0.04,3.28,81.0,1815.0,1896.0,0.0,1,1,1,2011-01-20,2011,January,Thursday
2011-01-21,0.56,-3.41,4.53,-1.47,0.83,6.12,73.0,1449.0,1522.0,0.0,1,1,1,2011-01-21,2011,January,Friday
2011-01-22,-5.36,-10.21,-0.51,-9.59,0.0,2.38,93.0,876.0,969.0,0.0,0,0,0,2011-01-22,2011,January,Saturday
2011-01-23,-7.05,-11.0,-3.1,-8.07,0.0,3.62,150.0,827.0,977.0,0.0,0,0,1,2011-01-23,2011,January,Sunday
2011-01-24,-7.12,-12.55,-1.7,-11.87,0.0,2.55,86.0,1319.0,1405.0,0.0,0,0,0,2011-01-24,2011,January,Monday
2011-01-25,-4.02,-9.41,1.37,-2.08,0.0,1.58,186.0,1785.0,1971.0,0.0,0,0,0,2011-01-25,2011,January,Tuesday
2011-01-26,1.85,-1.79,5.49,0.5,9.02,5.08,34.0,466.0,500.0,0.0,1,1,1,2011-01-26,2011,January,Wednesday
2011-01-27,-0.04,-1.78,1.71,-1.32,29.53,3.2,15.0,409.0,424.0,0.0,1,1,1,2011-01-27,2011,January,Thursday
2011-01-28,-0.47,-2.81,1.86,-1.86,0.13,1.67,38.0,1113.0,1151.0,0.0,0,1,1,2011-01-28,2011,January,Friday
2011-01-29,-1.73,-5.24,1.79,-4.22,1.44,1.88,123.0,947.0,1070.0,0.0,0,1,1,2011-01-29,2011,January,Saturday
2011-01-30,-1.34,-6.34,3.66,-4.6,0.0,1.2,140.0,944.0,1084.0,0.0,0,1,0,2011-01-30,2011,January,Sunday
2011-01-31,-0.36,-4.91,4.19,-2.94,0.0,2.68,42.0,1376.0,1418.0,0.0,1,0,1,2011-01-31,2011,January,Monday
2011-02-01,-1.51,-3.09,0.07,-3.08,0.5,1.2,47.0,1284.0,1331.0,0.0,1,1,1,2011-02-01,2011,February,Tuesday
2011-02-02,1.59,-1.67,4.85,0.72,18.68,4.65,72.0,1430.0,1502.0,0.0,1,1,1,2011-02-02,2011,February,Wednesday
2011-02-03,1.43,-3.48,6.34,-2.47,0.38,4.2,61.0,1473.0,1534.0,0.0,0,1,0,2011-02-03,2011,February,Thursday
2011-02-04,-1.05,-5.22,3.12,-3.28,0.0,1.88,88.0,1603.0,1691.0,0.0,0,0,0,2011-02-04,2011,February,Friday
2011-02-05,1.2,-2.3,4.69,0.97,1.99,2.4,100.0,892.0,992.0,0.0,1,1,0,2011-02-05,2011,February,Saturday
2011-02-06,3.06,-0.13,6.26,1.93,2.76,2.72,354.0,1249.0,1603.0,0.0,0,1,0,2011-02-06,2011,February,Sunday
2011-02-07,2.56,-3.02,8.15,-1.72,0.0,0.98,119.0,1568.0,1687.0,0.0,1,1,0,2011-02-07,2011,February,Monday
2011-02-08,1.91,-3.51,7.33,1.21,0.21,6.52,64.0,1446.0,1510.0,0.0,1,1,0,2011-02-08,2011,February,Tuesday
2011-02-09,-2.97,-8.17,2.23,-6.1,0.0,2.98,52.0,1540.0,1592.0,0.0,1,1,1,2011-02-09,2011,February,Wednesday
2011-02-10,-3.3,-7.06,0.46,-5.21,0.53,3.65,46.0,1474.0,1520.0,0.0,0,1,1,2011-02-10,2011,February,Thursday
2011-02-11,-3.42,-9.45,2.61,-7.79,0.12,1.42,148.0,1576.0,1724.0,0.0,0,1,0,2011-02-11,2011,February,Friday
2011-02-12,-0.53,-7.85,6.79,-3.23,0.0,3.55,288.0,1167.0,1455.0,0.0,0,1,0,2011-02-12,2011,February,Saturday
2011-02-13,2.76,-3.59,9.11,2.48,0.0,3.82,396.0,1162.0,1558.0,0.0,0,0,0,2011-02-13,2011,February,Sunday
2011-02-14,8.61,2.31,14.91,7.87,0.0,7.5,207.0,1685.0,1892.0,0.0,0,0,0,2011-02-14,2011,February,Monday
2011-02-15,6.63,-1.33,14.59,-0.41,0.0,4.42,139.0,1641.0,1780.0,0.0,0,1,0,2011-02-15,2011,February,Tuesday
2011-02-16,3.41,-3.05,9.88,1.07,0.0,3.48,218.0,1861.0,2079.0,0.0,0,1,0,2011-02-16,2011,February,Wednesday
2011-02-17,9.15,1.49,16.81,6.82,0.0,3.4,258.0,2185.0,2443.0,0.0,0,0,0,2011-02-17,2011,February,Thursday
2011-02-18,14.67,6.86,22.48,12.89,0.0,5.0,578.0,2314.0,2892.0,0.0,0,1,0,2011-02-18,2011,February,Friday
2011-02-19,13.12,6.08,20.15,7.72,0.01,10.07,532.0,1077.0,1609.0,0.0,0,1,0,2011-02-19,2011,February,Saturday
